title,artist,id,releasedate,month,type,songs,duration,genre,image,link,favs,hr
Pensando mucho y mal,lusillón,39,01/13/2023,january,Album,10,26min 4s,indie,/icons/images/calendar/pensando-mucho-y-mal.jpg,,,false
12,Ryuchi Sakamoto,85,01/17/2023,january,Album,12,1h 1min,electronic,/icons/images/calendar/12.jpg,,,false
BAR$,Saske,53,01/19/2023,january,Album,9,31min 44s,rap,/icons/images/calendar/bars.jpg,,,false
"Losing My Religion, Vol.3",Wase,93,01/20/2023,january,Album,18,32min 31s,rap,/icons/images/calendar/losing-my-religion.jpg,,,false
Blue Magic,"LeBleu, Johnny Doc & Rapp Gotti",95,01/22/2023,january,Album,9,22min 44s,rap,/icons/images/calendar/blue-magic.jpg,,,false
Cracker Island,Gorillaz,22,01/24/2023,january,Album,10,37min 29s,indie,/icons/images/calendar/cracker-island.jpg,,,false
Let’s Start Here,Lil Yachty,57,01/27/2023,january,Album,14,57min 16s,rock,/icons/images/calendar/lets-start-here.jpg,,,false
FOMO,Paula Cendejas,11,01/27/2023,january,Album,11,28min 52s,pop,/icons/images/calendar/fomo.jpg,https://open.spotify.com/intl-es/album/2wj8AHax9qryX210NBwu5Q?si=zKOMm0mtQ3mUPHoYEgtnow,⭐,true
Planet Terror Remixes,VELA INFAMOUS & Zamoranobeatz,20,02/01/2023,february,Album,14,40min 28s,rap,/icons/images/calendar/planet-terror-remixes.jpg,,,false
☆ COSAS DE BRUJAS ☆,María Escarmiento,78,02/03/2023,february,Album,13,33min 37s,hyperpop,/icons/images/calendar/cosas-de-brujas.jpg,,,false
"Brazzy Dayz, They Never End",iloveyoubrazzy,79,02/09/2023,february,Album,15,34 min 23s,rap,/icons/images/calendar/brazzy-dayz.jpg,,,false
Raven,Kelela,34,02/10/2023,february,Album,15,1h 2min,r&b,/icons/images/calendar/raven.jpg,,,false
This Is Why,Paramore,23,02/10/2023,february,Album,10,36min 16s,rock,/icons/images/calendar/this-is-why.jpg,,,false
"Desire, I Want to Turn Into You",Caroline Polachek,24,02/14/2023,february,Album,12,45min 24s,pop,/icons/images/calendar/desire.jpg,,,false
GLOW,Wesley Joseph,55,02/17/2023,february,Album,8,23min 26s,rap,/icons/images/calendar/glow.jpg,,,false
_BCN747,_juno,50,02/17/2023,february,Album,10,38min 4s,indie,/icons/images/calendar/bcn747.jpg,,,false
Diez Vueltas al Sol,Iñigo Merino,32,02/23/2023,february,EP,4,11min 19s,pop,/icons/images/calendar/diez-vueltas-al-sol.jpg,https://open.spotify.com/intl-es/album/1b4e1McTyILJe3TeHc6IWk?si=qoFIhWc6Tme8VUuYp-YkTA,⭐,true
Workin' on a World,Iris DeMent,83,02/24/2023,february,Album,13,1h 2min,country,/icons/images/calendar/workin-on-a-world.jpg,,,false
Contra Todo Pronóstico,Lia Kali,27,03/03/2023,march,Album,12,35min 41s,rap,/icons/images/calendar/contra-todo-pronostico.jpg,https://open.spotify.com/intl-es/album/6Vci5Gbazs7TZYDNliRJKO?si=gI9Mos7zQaaTYnQTf_h_UQ,⭐,true
JUNGLE,The Blaze,69,03/10/2023,march,Album,10,44min 52s,electronic,/icons/images/calendar/jungle.jpg,,,false
MPFCTX,Shoda Monkas,41,03/10/2023,march,EP,5,15min 46s,rap,/icons/images/calendar/mpfctx.jpg,,,false
"10,000 gecs",100 gecs,43,03/17/2023,march,Album,10,26min 53s,hyperpop,/icons/images/calendar/10000gecs.jpg,,,false
Swarm,"Ni’jah, KIRBY & Childish Gambino",28,03/17/2023,march,EP,6,16min 58s,r&b,/icons/images/calendar/swarm.jpg,https://open.spotify.com/intl-es/album/7AXxq1n3X7JZbbEnGCfLAX?si=4917572c66724df8,⭐,true
