title,artist,id,releasedate,month,type,songs,duration,genre,image,favm,favs,hr
Pensando mucho y mal,lusillón,39,13/01/2023,january,Album,10,26min 4s,indie,/icons/images/calendar/.jpg,,,No
12,Ryuchi Sakamoto,85,17/01/2023,january,Album,12,1h 1min,electronic,/icons/images/calendar/.jpg,,,No
BAR$,Saske,53,19/01/2023,january,Album,9,31min 44s,rap,/icons/images/calendar/.jpg,,,No
"Losing My Religion, Vol.3",Wase,93,20/01/2023,january,Album,18,32min 31s,rap,/icons/images/calendar/.jpg,,,No
Blue Magic,"LeBleu, Johnny Doc & Rapp Gotti",95,22/01/2023,january,Album,9,22min 44s,rap,/icons/images/calendar/.jpg,,,No
Cracker Island,Gorillaz,22,24/01/2023,january,Album,10,37min 29s,pop,/icons/images/calendar/.jpg,,,No
Let’s Start Here,Lil Yachty,57,27/01/2023,january,Album,14,57min 16s,rock,/icons/images/calendar/.jpg,,,No
FOMO,Paula Cendejas,11,27/01/2023,january,Album,11,28min 52s,pop,/icons/images/calendar/.jpg,⭐,⭐,Yes
Planet Terror,VELA INFAMOUS & Zamoranobeatz,20,01/02/2023,february,Album,14,40min 28s,rap,/icons/images/calendar/.jpg,,,No
☆ COSAS DE BRUJAS ☆,María Escarmiento,78,03/02/2023,february,Album,13,33min 37s,hyperpop,/icons/images/calendar/.jpg,,,No
"Brazzy Dayz, They Never End",iloveyoubrazzy,79,09/02/2023,february,Album,15,34 min 23s,rap,/icons/images/calendar/.jpg,,,No
Raven,Kelela,34,10/02/2023,february,Album,15,1h 2min,r&b,/icons/images/calendar/.jpg,,,No
This Is Why,Paramore,23,10/02/2023,february,Album,10,36min 16s,rock,/icons/images/calendar/.jpg,,,No
"Desire, I Want to Turn Into You",Caroline Polachek,24,14/02/2023,february,Album,12,45min 24s,pop,/icons/images/calendar/.jpg,,,No
GLOW,Wesley Joseph,55,17/02/2023,february,Album,8,23min 26s,rap,/icons/images/calendar/.jpg,,,No
_BCN747,_juno,50,17/02/2023,february,Album,10,38min 4s,indie,/icons/images/calendar/.jpg,,,No
